Category	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
RI	ENSBTAG00000040361	LFNG	chr25	-	40759899	40760262	40759899	40760053	40760162	40760262
RI	ENSBTAG00000020294	PTPN6	chr5	-	103511660	103511783	103511660	103511689	103511725	103511783
RI	ENSBTAG00000031184	CDKN1C	chr29	+	48728419	48729448	48728419	48728637	48728819	48729448
RI	ENSBTAG00000019600	OOEP	chr9	-	12765346	12766135	12765346	12765611	12765955	12766135
RI	ENSBTAG00000019799	FCAMR	chr16	-	4740834	4742563	4740834	4741543	4742444	4742563
RI	ENSBTAG00000045535	GALNTL5	chr4	+	114504037	114504161	114504037	114504141	114504142	114504161
RI	ENSBTAG00000014880	NA	chr1	-	144231924	144233246	144231924	144232287	144233205	144233246
RI	ENSBTAG00000020698	MTHFR	chr16	+	41872925	41873506	41872925	41872998	41873344	41873506
RI	ENSBTAG00000001283	RIC1	chr8	-	38978973	38979177	38978973	38979026	38979062	38979177
RI	ENSBTAG00000037899	DLK1	chr21	+	65633491	65634828	65633491	65633771	65633996	65634828
RI	ENSBTAG00000008556	POU2F2	chr18	+	51159418	51159791	51159418	51159560	51159642	51159791
RI	ENSBTAG00000019639	SNX16	chr14	+	80765245	80765720	80765245	80765493	80765580	80765720
RI	ENSBTAG00000030413	LACTBL1	chr2	+	129871676	129871915	129871676	129871844	129871895	129871915
RI	ENSBTAG00000010775	POGK	chr3	-	2067931	2068970	2067931	2068065	2068723	2068970
RI	ENSBTAG00000020436	KIF27	chr8	-	77175676	77176341	77175676	77175831	77176171	77176341
RI	ENSBTAG00000006031	ADGRV1	chr7	+	90339030	90340136	90339030	90339346	90339628	90340136
RI	ENSBTAG00000006031	ADGRV1	chr7	+	90339030	90340136	90339030	90339526	90339784	90340136
RI	ENSBTAG00000003365	SMG8	chr19	+	10164616	10165489	10164616	10165309	10165399	10165489
RI	ENSBTAG00000009928	MLST8	chr25	+	1736263	1737068	1736263	1736335	1736865	1737068
RI	ENSBTAG00000012736	PTRH1	chr11	-	98394158	98394953	98394158	98394258	98394733	98394953
RI	ENSBTAG00000012736	PTRH1	chr11	-	98394158	98395443	98394158	98394953	98395322	98395443
RI	ENSBTAG00000009042	ATXN7L2	chr3	-	33962468	33963021	33962468	33962573	33962955	33963021
RI	ENSBTAG00000054495	NA	chr13	+	57548557	57549990	57548557	57549387	57549479	57549990
RI	ENSBTAG00000019798	PIGR	chr16	-	4713348	4714630	4713348	4713968	4714058	4714630
RI	ENSBTAG00000000945	ATP2C2	chr18	+	10665130	10665500	10665130	10665255	10665402	10665500
RI	ENSBTAG00000000988	BRCA2	chr12	-	28658633	28659046	28658633	28658742	28658996	28659046
RI	ENSBTAG00000004716	RETN	chr7	+	16513146	16514006	16513146	16513286	16513449	16514006
RI	ENSBTAG00000004716	RETN	chr7	+	16513449	16514006	16513449	16513577	16513928	16514006
RI	ENSBTAG00000018062	KIAA1522	chr2	-	120884137	120886660	120884137	120885442	120885598	120886660
RI	ENSBTAG00000000877	ETFBKMT	chr5	-	78279594	78279920	78279594	78279851	78279896	78279920
RI	ENSBTAG00000005259	UCP3	chr15	-	53446051	53446949	53446051	53446262	53446729	53446949
RI	ENSBTAG00000016250	AKTIP	chr18	-	21850125	21850388	21850125	21850224	21850299	21850388
RI	ENSBTAG00000005672	CDH22	chr13	-	74908916	74909276	74908916	74909034	74909154	74909276
RI	ENSBTAG00000019864	MAPK15	chr14	-	1041239	1041827	1041239	1041368	1041667	1041827
RI	ENSBTAG00000013476	CPA5	chr4	+	94112903	94113530	94112903	94113014	94113439	94113530
RI	ENSBTAG00000002561	CCDC120	chrX	+	87150361	87152941	87150361	87151276	87151767	87152941
RI	ENSBTAG00000016276	HAL	chr5	-	60298300	60298494	60298300	60298328	60298433	60298494
RI	ENSBTAG00000002981	PIMREG	chr19	-	25412104	25413168	25412104	25412743	25413118	25413168
RI	ENSBTAG00000050193	NA	chr12	+	86053425	86054225	86053425	86053608	86053905	86054225
RI	ENSBTAG00000005980	RREB1	chr23	-	48105547	48106474	48105547	48105760	48106351	48106474
RI	ENSBTAG00000016644	LVRN	chr10	+	4928047	4929057	4928047	4928195	4928764	4929057
RI	ENSBTAG00000045828	PTBP1	chr7	+	43376037	43376436	43376037	43376130	43376219	43376436
RI	ENSBTAG00000015381	ARHGAP18	chr9	-	67754859	67756052	67754859	67755000	67755845	67756052
RI	ENSBTAG00000007462	ASTE1	chr1	+	138839741	138841064	138839741	138839902	138839994	138841064
RI	ENSBTAG00000012070	INTS2	chr19	+	11222889	11223141	11222889	11222968	11223031	11223141
RI	ENSBTAG00000012070	INTS2	chr19	+	11222889	11223600	11222889	11223141	11223492	11223600
RI	ENSBTAG00000012070	INTS2	chr19	+	11223492	11225672	11223492	11223600	11225350	11225672
RI	ENSBTAG00000016742	WFDC3	chr13	-	74562589	74562823	74562589	74562797	74562799	74562823
RI	ENSBTAG00000001945	ARG2	chr10	+	79498979	79500081	79498979	79499533	79499915	79500081
RI	ENSBTAG00000003826	SCN1B	chr18	+	45779855	45781395	45779855	45779997	45780737	45781395
RI	ENSBTAG00000000595	FBN3	chr7	-	16792167	16792578	16792167	16792284	16792455	16792578
RI	ENSBTAG00000000595	FBN3	chr7	-	16792167	16792578	16792167	16792455	16792500	16792578
RI	ENSBTAG00000004131	RAP2C	chrX	-	16086877	16087703	16086877	16087038	16087160	16087703
RI	ENSBTAG00000015209	MXD4	chr6	+	116382082	116383571	116382082	116382245	116382413	116383571
RI	ENSBTAG00000004886	ZAR1	chr6	+	67172308	67173151	67172308	67172532	67172799	67173151
RI	ENSBTAG00000015510	EPHB6	chr4	+	106174562	106175316	106174562	106174727	106174799	106175316
RI	ENSBTAG00000022294	FADS1	chr29	-	40244037	40246701	40244037	40246346	40246575	40246701
RI	ENSBTAG00000015721	RAVER1	chr7	-	14849507	14849813	14849507	14849605	14849719	14849813
RI	ENSBTAG00000015721	RAVER1	chr7	-	14849507	14849813	14849507	14849644	14849719	14849813
RI	ENSBTAG00000000310	MFAP5	chr5	+	101191590	101192014	101191590	101191730	101191880	101192014
RI	ENSBTAG00000000310	MFAP5	chr5	+	101197018	101197580	101197018	101197063	101197547	101197580
RI	ENSBTAG00000019648	RACK1	chr7	-	40374236	40374408	40374236	40374276	40374360	40374408
RI	ENSBTAG00000017194	ASPG	chr21	+	68640755	68641669	68640755	68640836	68641323	68641669
RI	ENSBTAG00000013917	NA	chr25	+	26834100	26834352	26834100	26834122	26834176	26834352
RI	ENSBTAG00000012113	HCCS	chrNKLS02002210.1	-	295179	296075	295179	295332	295908	296075
RI	ENSBTAG00000021303	RSAD1	chr19	-	36239011	36239455	36239011	36239216	36239321	36239455
RI	ENSBTAG00000020026	C3H1orf43	chr3	+	16308241	16309049	16308241	16308335	16308763	16309049
RI	ENSBTAG00000015663	STIP1	chr29	+	42500526	42500963	42500526	42500668	42500821	42500963
RI	ENSBTAG00000001736	UBN1	chr25	+	3924741	3925180	3924741	3925031	3925136	3925180
RI	ENSBTAG00000034222	CAB39L	chr12	-	19002181	19003107	19002181	19002256	19002886	19003107
RI	ENSBTAG00000050891	NA	chr16	-	55234389	55234805	55234389	55234595	55234775	55234805
RI	ENSBTAG00000021487	CIART	chr3	-	20359693	20360783	20359693	20360119	20360689	20360783
RI	ENSBTAG00000002980	GPT2	chr18	+	15315871	15316921	15315871	15316424	15316657	15316921
RI	ENSBTAG00000002980	GPT2	chr18	+	15347344	15349193	15347344	15347483	15348635	15349193
RI	ENSBTAG00000013725	RBSN	chr22	+	57199299	57200607	57199299	57199371	57199509	57200607
RI	ENSBTAG00000054628	PMEPA1	chr13	+	58539516	58542578	58539516	58539570	58540049	58542578
RI	ENSBTAG00000050083	NA	chr19	+	33893523	33894127	33893523	33893640	33893873	33894127
RI	ENSBTAG00000012481	RANGAP1	chr5	-	112424690	112425046	112424690	112424798	112424893	112425046
RI	ENSBTAG00000053717	NA	chr12	+	77308513	77309380	77308513	77308806	77309260	77309380
RI	ENSBTAG00000003644	HSPBP1	chr18	+	62195225	62196186	62195225	62195560	62195889	62196186
RI	ENSBTAG00000001419	MRPL4	chr7	+	14777678	14781064	14777678	14777796	14780273	14781064
RI	ENSBTAG00000006366	NFATC4	chr10	-	20800019	20801744	20800019	20800441	20801162	20801744
RI	ENSBTAG00000004452	IPO9	chr16	-	80618029	80619295	80618029	80618231	80619233	80619295
RI	ENSBTAG00000011543	PDCD1	chr3	-	120837822	120839639	120837822	120839436	120839604	120839639
RI	ENSBTAG00000011543	PDCD1	chr3	-	120837822	120840409	120837822	120839436	120840247	120840409
RI	ENSBTAG00000011543	PDCD1	chr3	-	120837822	120840409	120837822	120839639	120840247	120840409
RI	ENSBTAG00000010073	FLOT2	chr19	-	20255554	20256737	20255554	20255678	20256646	20256737
RI	ENSBTAG00000020515	FAM160A2	chr15	+	46813727	46814824	46813727	46814056	46814185	46814824
RI	ENSBTAG00000053559	NA	chr1	-	150541200	150541753	150541200	150541268	150541686	150541753
RI	ENSBTAG00000051169	ERICH2	chr2	-	25693864	25694204	25693864	25693950	25694034	25694204
RI	ENSBTAG00000014731	GAPDH	chr5	-	103874294	103874824	103874294	103874335	103874614	103874824
RI	ENSBTAG00000001920	POLQ	chr1	-	65990953	65994051	65990953	65992493	65992529	65994051
RI	ENSBTAG00000009502	LUZP1	chr2	+	129759701	129762880	129759701	129762634	129762730	129762880
RI	ENSBTAG00000007308	EDC3	chr21	+	34024652	34024988	34024652	34024810	34024811	34024988
RI	ENSBTAG00000009736	CDC42BPG	chr29	-	43062166	43064068	43062166	43062264	43063285	43064068
RI	ENSBTAG00000009736	CDC42BPG	chr29	-	43062166	43064068	43062166	43062264	43064005	43064068
RI	ENSBTAG00000009736	CDC42BPG	chr29	-	43063285	43064068	43063285	43063885	43064005	43064068
RI	ENSBTAG00000009736	CDC42BPG	chr29	-	43066972	43067355	43066972	43067032	43067302	43067355
RI	ENSBTAG00000009736	CDC42BPG	chr29	-	43066972	43067355	43066972	43067215	43067302	43067355
RI	ENSBTAG00000011495	DIP2A	chr1	+	146183172	146183511	146183172	146183237	146183417	146183511
RI	ENSBTAG00000011495	DIP2A	chr1	+	146228295	146228622	146228295	146228417	146228510	146228622
RI	ENSBTAG00000011932	PRG4	chr16	+	67390540	67393858	67390540	67390989	67392102	67393858
RI	ENSBTAG00000013407	PLXNB1	chr22	+	51440502	51441669	51440502	51441430	51441496	51441669
RI	ENSBTAG00000006410	DCTN5	chr25	+	21294212	21294282	21294212	21294218	21294219	21294282
RI	ENSBTAG00000001022	AMDHD2	chr25	+	2017314	2018569	2017314	2018355	2018432	2018569
RI	ENSBTAG00000007796	POLM	chr4	+	77235849	77236248	77235849	77236086	77236164	77236248
RI	ENSBTAG00000051588	NA	chrNKLS02001967.1	+	94085	95416	94085	94159	94246	95416
RI	ENSBTAG00000020366	TBL3	chr25	+	1534460	1534807	1534460	1534619	1534697	1534807
RI	ENSBTAG00000009554	EHBP1L1	chr29	+	43763497	43765496	43763497	43763762	43765313	43765496
RI	ENSBTAG00000020154	DEDD	chr3	+	8370550	8370939	8370550	8370737	8370866	8370939
RI	ENSBTAG00000055050	TPO	chr8	-	112197184	112197356	112197184	112197244	112197344	112197356
RI	ENSBTAG00000055050	TPO	chr8	-	112202248	112202755	112202248	112202638	112202677	112202755
RI	ENSBTAG00000014399	QSER1	chr15	+	63589938	63590618	63589938	63590051	63590456	63590618
RI	ENSBTAG00000014399	QSER1	chr15	+	63593537	63597230	63593537	63594172	63594514	63597230
RI	ENSBTAG00000015950	ISOC2	chr18	+	62058189	62060249	62058189	62058307	62059839	62060249
RI	ENSBTAG00000019960	TM4SF18	chr1	+	118858861	118859687	118858861	118859394	118859493	118859687
RI	ENSBTAG00000002435	PTPRE	chr26	+	47500068	47501339	47500068	47500177	47500477	47501339
RI	ENSBTAG00000030247	NSMF	chr11	-	106437138	106437617	106437138	106437228	106437564	106437617
RI	ENSBTAG00000033457	CCAR1	chr28	+	25083205	25083445	25083205	25083344	25083416	25083445
RI	ENSBTAG00000010008	TTC12	chr15	+	23880444	23881169	23880444	23880608	23881147	23881169
RI	ENSBTAG00000003155	IFI27L2	chr21	-	58756068	58756455	58756068	58756098	58756233	58756455
RI	ENSBTAG00000049874	NA	chr5	-	119946289	119947102	119946289	119946754	119946914	119947102
RI	ENSBTAG00000018318	DNAJB5	chr8	+	59277669	59278770	59277669	59277786	59278625	59278770
RI	ENSBTAG00000002448	SNTG1	chr14	+	20585578	20585754	20585578	20585622	20585712	20585754
RI	ENSBTAG00000009566	CCNH	chr7	-	87037412	87038235	87037412	87037451	87038174	87038235
RI	ENSBTAG00000009566	CCNH	chr7	-	87067560	87067897	87067560	87067706	87067825	87067897
RI	ENSBTAG00000006688	RPS6KL1	chr10	-	86161784	86162908	86161784	86161874	86162299	86162908
RI	ENSBTAG00000004815	NA	chr7	-	40400619	40401078	40400619	40400652	40400980	40401078
RI	ENSBTAG00000001360	RPS12	chr9	+	70977043	70977395	70977043	70977094	70977278	70977395
RI	ENSBTAG00000015325	MTOR	chr16	+	42498066	42498318	42498066	42498186	42498240	42498318
RI	ENSBTAG00000015325	MTOR	chr16	+	42498066	42498318	42498066	42498195	42498240	42498318
RI	ENSBTAG00000006173	CCDC116	chr17	-	72121383	72121854	72121383	72121525	72121775	72121854
RI	ENSBTAG00000033685	CCNJ	chr26	+	17413334	17414333	17413334	17413576	17414223	17414333
RI	ENSBTAG00000002555	PDZK1IP1	chr3	+	99043729	99044172	99043729	99043805	99044008	99044172
RI	ENSBTAG00000002826	CLSPN	chr3	+	110028295	110028876	110028295	110028311	110028356	110028876
RI	ENSBTAG00000007204	KRT80	chr5	+	27754658	27756771	27754658	27754714	27754816	27756771
RI	ENSBTAG00000049632	NA	chrNKLS02002204.1	-	54069	54928	54069	54385	54789	54928
RI	ENSBTAG00000016107	PCYT1B	chrX	+	118792834	118793523	118792834	118792897	118793401	118793523
RI	ENSBTAG00000011904	HCFC1	chrX	-	37172340	37172700	37172340	37172434	37172641	37172700
RI	ENSBTAG00000010550	EIF5A2	chr1	+	96540991	96541988	96540991	96541129	96541794	96541988
RI	ENSBTAG00000020355	KLF4	chr8	-	97176530	97177788	97176530	97176695	97176794	97177788
RI	ENSBTAG00000020355	KLF4	chr8	-	97178451	97179335	97178451	97178572	97178680	97179335
RI	ENSBTAG00000020459	TIMELESS	chr5	+	56954258	56954674	56954258	56954362	56954504	56954674
RI	ENSBTAG00000006972	TRIP13	chr20	-	71375340	71376582	71375340	71376226	71376512	71376582
RI	ENSBTAG00000049289	NA	chr8	+	59953835	59954927	59953835	59953898	59954678	59954927
RI	ENSBTAG00000007666	IGF2BP2	chr1	+	81538340	81538613	81538340	81538413	81538545	81538613
RI	ENSBTAG00000019161	NPRL2	chr22	+	49993024	49993465	49993024	49993124	49993380	49993465
RI	ENSBTAG00000020082	FAM71E1	chr18	-	56613087	56613645	56613087	56613206	56613390	56613645
RI	ENSBTAG00000030566	GLE1	chr11	+	99085522	99085959	99085522	99085665	99085768	99085959
RI	ENSBTAG00000011970	FNIP2	chr17	-	40133357	40134555	40133357	40133540	40133834	40134555
RI	ENSBTAG00000048982	NA	chr17	+	53501379	53501628	53501379	53501484	53501592	53501628
RI	ENSBTAG00000001332	MYO1C	chr19	-	22609146	22609515	22609146	22609245	22609335	22609515
RI	ENSBTAG00000021923	DSG2	chr24	-	25625625	25626027	25625625	25625770	25625865	25626027
RI	ENSBTAG00000009049	NA	chr5	-	57435268	57435850	57435268	57435499	57435737	57435850
RI	ENSBTAG00000030523	ZPBP2	chr19	+	40217186	40217868	40217186	40217657	40217802	40217868
RI	ENSBTAG00000009732	NCBP1	chr8	+	62864753	62866802	62864753	62864828	62866698	62866802
RI	ENSBTAG00000048486	IQANK1	chr14	-	1024337	1025093	1024337	1024427	1024713	1025093
RI	ENSBTAG00000016268	XRCC1	chr18	-	51749826	51750123	51749826	51749938	51750013	51750123
RI	ENSBTAG00000038461	NA	chr5	+	100804064	100804242	100804064	100804082	100804124	100804242
RI	ENSBTAG00000054342	MIC1	chr23	-	27908630	27909162	27908630	27908759	27908883	27909162
RI	ENSBTAG00000013046	MPP1	chrX	+	36209234	36209890	36209234	36209383	36209583	36209890
RI	ENSBTAG00000015184	SYDE1	chr7	-	8014907	8015144	8014907	8015031	8015097	8015144
RI	ENSBTAG00000010729	KRI1	chr7	-	15068282	15068472	15068282	15068332	15068417	15068472
RI	ENSBTAG00000016722	PGGHG	chr11	+	82956389	82957422	82956389	82956907	82957138	82957422
RI	ENSBTAG00000000582	LY6G6E	chr23	+	27595985	27597019	27595985	27596755	27596896	27597019
RI	ENSBTAG00000012072	NDUFS8	chr29	+	45559235	45560282	45559235	45559726	45560218	45560282
RI	ENSBTAG00000054406	C18H19orf33	chr18	+	48119530	48121108	48119530	48119611	48119745	48121108
RI	ENSBTAG00000011619	RASIP1	chr18	-	55370966	55372375	55370966	55371652	55372234	55372375
RI	ENSBTAG00000004714	MCEMP1	chr7	+	16523607	16525532	16523607	16523676	16523799	16525532
RI	ENSBTAG00000021160	AP1M2	chr7	-	15074207	15076256	15074207	15075751	15076180	15076256
RI	ENSBTAG00000005912	DMAP1	chr3	-	101841249	101841691	101841249	101841399	101841529	101841691
RI	ENSBTAG00000034796	TEX264	chr22	-	49131856	49135909	49131856	49132449	49135740	49135909
RI	ENSBTAG00000014068	VDAC3	chr27	+	37237543	37238514	37237543	37237612	37238464	37238514
RI	ENSBTAG00000020454	LZTS3	chr13	+	52032788	52034011	52032788	52033008	52033540	52034011
RI	ENSBTAG00000000374	LRRTM4	chr11	+	58509672	58510383	58509672	58509963	58510233	58510383
RI	ENSBTAG00000016661	USP18	chr5	+	76009170	76009652	76009170	76009250	76009505	76009652
RI	ENSBTAG00000001862	PPP2R2B	chr7	-	58109679	58110711	58109679	58109873	58110389	58110711
RI	ENSBTAG00000002055	ZFP28	chr18	-	63906398	63907053	63906398	63906490	63906910	63907053
RI	ENSBTAG00000012241	POLD2	chr4	+	77192637	77194141	77192637	77193220	77193546	77194141
RI	ENSBTAG00000012241	POLD2	chr4	+	77192637	77194141	77192637	77193220	77193881	77194141
RI	ENSBTAG00000019964	GAS6	chr12	-	86838223	86838896	86838223	86838390	86838578	86838896
RI	ENSBTAG00000037941	QTRT1	chr7	+	15196439	15197535	15196439	15196527	15196630	15197535
RI	ENSBTAG00000021745	RAPSN	chr15	-	77261075	77261975	77261075	77261400	77261775	77261975
RI	ENSBTAG00000017950	SLC4A8	chr5	-	28354521	28355626	28354521	28354657	28355479	28355626
RI	ENSBTAG00000015150	IL12A	chr1	-	107439390	107440547	107439390	107439542	107440164	107440547
RI	ENSBTAG00000048265	NA	chrX	-	49828578	49829293	49828578	49828784	49828902	49829293
RI	ENSBTAG00000055140	NA	chr5	+	100074929	100075687	100074929	100075506	100075585	100075687
RI	ENSBTAG00000009504	REEP4	chr8	-	69452812	69453255	69452812	69452967	69453119	69453255
RI	ENSBTAG00000007233	WDR25	chr21	+	65415729	65416865	65415729	65415870	65416383	65416865
RI	ENSBTAG00000021224	ZSWIM6	chr20	-	18051810	18052474	18051810	18052055	18052103	18052474
RI	ENSBTAG00000039355	MADCAM1	chr7	+	43158750	43159934	43158750	43158818	43158929	43159934
RI	ENSBTAG00000039355	MADCAM1	chr7	+	43158929	43159934	43158929	43159202	43159613	43159934
RI	ENSBTAG00000004078	KCNH2	chr4	-	113532492	113532880	113532492	113532578	113532734	113532880
RI	ENSBTAG00000012640	S100A8	chr3	+	17085576	17086463	17085576	17085864	17086300	17086463
RI	ENSBTAG00000026819	HDAC7	chr5	+	32481915	32482292	32481915	32482103	32482201	32482292
RI	ENSBTAG00000004936	TMIGD2	chr7	+	19781481	19781706	19781481	19781511	19781604	19781706
RI	ENSBTAG00000004017	PLEKHG2	chr18	+	49109363	49110533	49109363	49109487	49110264	49110533
RI	ENSBTAG00000002096	FCGR3A	chr3	+	8001399	8002475	8001399	8001420	8002217	8002475
RI	ENSBTAG00000012180	BMF	chr10	-	35756611	35757288	35756611	35756740	35757105	35757288
RI	ENSBTAG00000045824	SOX9	chr19	-	58919578	58920468	58919578	58920010	58920070	58920468
RI	ENSBTAG00000005572	ZNF205	chr25	+	2561191	2562135	2561191	2561565	2561993	2562135
RI	ENSBTAG00000014211	FOXP4	chr23	+	15408040	15408595	15408040	15408124	15408518	15408595
RI	ENSBTAG00000019180	AP2A1	chr18	+	56161648	56161812	56161648	56161714	56161774	56161812
RI	ENSBTAG00000021516	GSTA1	chr23	-	25122358	25123511	25122358	25122568	25123379	25123511
RI	ENSBTAG00000021306	CHRDL2	chr15	-	54008948	54009867	54008948	54009110	54009774	54009867
RI	ENSBTAG00000020407	MTSS1	chr14	+	15545881	15546076	15545881	15545915	15546011	15546076
RI	ENSBTAG00000014520	LIAS	chr6	+	58577784	58578650	58577784	58577930	58578579	58578650
RI	ENSBTAG00000039326	GCNT2	chr23	-	45543863	45545527	45543863	45545072	45545170	45545527
RI	ENSBTAG00000013677	SEC14L1	chr19	-	54706286	54708620	54706286	54706824	54708518	54708620
RI	ENSBTAG00000002657	NKIRAS2	chr19	+	42173650	42176531	42173650	42173892	42174543	42176531
RI	ENSBTAG00000006417	EDC4	chr18	+	35377039	35377433	35377039	35377227	35377314	35377433
RI	ENSBTAG00000018419	ADCY4	chr10	+	20852203	20853263	20852203	20852381	20853072	20853263
RI	ENSBTAG00000015973	TRAF3IP1	chr3	+	117697091	117699247	117697091	117697253	117697865	117699247
RI	ENSBTAG00000012678	COLGALT1	chr7	-	5564120	5565099	5564120	5564238	5564988	5565099
RI	ENSBTAG00000015358	ALDOB	chr8	-	91151917	91153093	91151917	91152129	91152971	91153093
RI	ENSBTAG00000005373	TPM1	chr10	-	46999283	47001134	46999283	46999498	47001055	47001134
RI	ENSBTAG00000018884	RING1	chr23	+	7395631	7396749	7395631	7395884	7396588	7396749
RI	ENSBTAG00000002455	KLHL8	chr6	-	102085752	102086301	102085752	102086073	102086154	102086301
RI	ENSBTAG00000017765	GSTM1	chr3	-	33684858	33685417	33684858	33684923	33685341	33685417
RI	ENSBTAG00000017765	GSTM1	chr3	-	33700113	33700395	33700113	33700214	33700313	33700395
RI	ENSBTAG00000003393	CCDC157	chr17	+	69374031	69374465	69374031	69374181	69374341	69374465
RI	ENSBTAG00000008355	CPSF1	chr14	+	542385	542740	542385	542504	542581	542740
RI	ENSBTAG00000008355	CPSF1	chr14	+	548802	549062	548802	548830	548919	549062
RI	ENSBTAG00000005416	PPIL3	chr2	-	89525747	89526490	89525747	89525815	89526396	89526490
RI	ENSBTAG00000001328	SLBP	chr6	+	116841591	116842257	116841591	116842022	116842140	116842257
RI	ENSBTAG00000009819	CDC20	chr3	-	102658660	102659704	102658660	102658849	102659021	102659704
RI	ENSBTAG00000013761	STMN1	chr2	+	127180013	127180762	127180013	127180086	127180589	127180762
RI	ENSBTAG00000013761	STMN1	chr2	+	127182684	127183806	127182684	127182876	127183286	127183806
RI	ENSBTAG00000000161	TMEM40	chr22	+	56405894	56406928	56405894	56405966	56406790	56406928
RI	ENSBTAG00000032680	TMEM63B	chr23	+	17665082	17666148	17665082	17665121	17666057	17666148
RI	ENSBTAG00000052082	NA	chr29	-	33041507	33042536	33041507	33041673	33042162	33042536
RI	ENSBTAG00000009358	MTSS2	chr18	+	1493658	1494620	1493658	1493732	1494535	1494620
RI	ENSBTAG00000009358	MTSS2	chr18	+	1507019	1508027	1507019	1507185	1507272	1508027
RI	ENSBTAG00000009124	FEZ1	chr29	-	28906682	28910114	28906682	28907046	28910048	28910114
RI	ENSBTAG00000003956	SGCA	chr19	-	36482930	36483572	36482930	36483113	36483379	36483572
RI	ENSBTAG00000003956	SGCA	chr19	-	36490292	36490695	36490292	36490365	36490540	36490695
RI	ENSBTAG00000047606	NA	chr21	+	69725246	69725825	69725246	69725297	69725698	69725825
RI	ENSBTAG00000047606	NA	chr21	+	69739592	69740920	69739592	69739744	69739830	69740920
RI	ENSBTAG00000001886	PABIR2	chrX	-	18464263	18465604	18464263	18464665	18465463	18465604
RI	ENSBTAG00000027205	PGBD5	chr28	-	2318804	2318909	2318804	2318857	2318907	2318909
RI	ENSBTAG00000024878	ANKRD31	chr10	-	6676853	6677304	6676853	6677002	6677107	6677304
RI	ENSBTAG00000002977	ECE1	chr2	+	131385511	131385970	131385511	131385652	131385883	131385970
RI	ENSBTAG00000017280	C3	chr7	+	17781917	17782124	17781917	17781980	17782073	17782124
RI	ENSBTAG00000016399	AKAP4	chrX	-	87916592	87919302	87916592	87916931	87917160	87919302
RI	ENSBTAG00000000436	TNFAIP3	chr9	+	75753828	75756753	75753828	75754010	75754765	75756753
RI	ENSBTAG00000025210	COL4A2	chr12	+	85149073	85149220	85149073	85149166	85149214	85149220
RI	ENSBTAG00000025425	RAB24	chr7	-	38774197	38774561	38774197	38774248	38774461	38774561
RI	ENSBTAG00000000109	NPTXR	chr5	-	110445103	110445709	110445103	110445476	110445692	110445709
RI	ENSBTAG00000002090	CPSF4	chr25	-	36964522	36965792	36964522	36964595	36965698	36965792
RI	ENSBTAG00000013141	ACTRT3	chr1	+	97607060	97608011	97607060	97607204	97607770	97608011
RI	ENSBTAG00000021145	MAP4K1	chr18	-	48367447	48368715	48367447	48367995	48368644	48368715
RI	ENSBTAG00000021145	MAP4K1	chr18	-	48378986	48379180	48378986	48379034	48379124	48379180
RI	ENSBTAG00000021145	MAP4K1	chr18	-	48381666	48381960	48381666	48381724	48381893	48381960
RI	ENSBTAG00000031363	TLE5	chr7	+	20735798	20736711	20735798	20736164	20736613	20736711
RI	ENSBTAG00000048366	SNPH	chr13	-	59859387	59859854	59859387	59859497	59859734	59859854
RI	ENSBTAG00000000056	STRADA	chr19	-	48007239	48007680	48007239	48007449	48007528	48007680
RI	ENSBTAG00000049392	NA	chrNKLS02001967.1	-	68798	69874	68798	69191	69635	69874
RI	ENSBTAG00000054315	GTPBP6	chr1	-	88362034	88362389	88362034	88362223	88362280	88362389
RI	ENSBTAG00000019574	MAPK12	chr5	-	119621831	119622222	119621831	119621903	119622107	119622222
RI	ENSBTAG00000019574	MAPK12	chr5	-	119622984	119624062	119622984	119623014	119624003	119624062
RI	ENSBTAG00000020308	EIF4G2	chr15	+	41878310	41878569	41878310	41878415	41878538	41878569
RI	ENSBTAG00000038215	CLCA2	chr3	-	57607298	57607741	57607298	57607554	57607605	57607741
RI	ENSBTAG00000049722	TSACC	chr3	-	14485367	14486414	14485367	14485427	14486259	14486414
RI	ENSBTAG00000000542	CFAP36	chr11	+	38240901	38241624	38240901	38241051	38241526	38241624
RI	ENSBTAG00000046152	MGAM	chr4	+	105367112	105367509	105367112	105367227	105367269	105367509
RI	ENSBTAG00000030563	PRRG2	chr18	+	56007339	56008411	56007339	56007477	56007822	56008411
RI	ENSBTAG00000002680	TMEM132E	chr19	-	15476849	15477970	15476849	15477052	15477322	15477970
RI	ENSBTAG00000034501	CFI	chr6	+	15613507	15614525	15613507	15614049	15614388	15614525
RI	ENSBTAG00000019262	TOP2A	chr19	-	40627305	40628023	40627305	40627352	40627891	40628023
RI	ENSBTAG00000011102	TPCN1	chr17	+	61268438	61268959	61268438	61268555	61268834	61268959
RI	ENSBTAG00000014511	C16H1orf159	chr16	+	51395760	51396220	51395760	51395847	51396154	51396220
RI	ENSBTAG00000009036	SUPT6H	chr19	+	20128937	20129719	20128937	20129120	20129219	20129719
RI	ENSBTAG00000001030	MTMR3	chr17	+	69094931	69098068	69094931	69096318	69097979	69098068
RI	ENSBTAG00000012994	LOX	chr7	+	31754828	31756135	31754828	31754980	31755216	31756135
RI	ENSBTAG00000012338	FAH	chr21	+	26124869	26125125	26124869	26124967	26125072	26125125
